numeric_id_1,numeric_id_2
13772,94071
13772,14159
13772,64056
13772,29948
13772,1084
13772,37535
13772,107354
13772,124498
13772,32886
13772,76832
13772,1246
13772,140059
13772,35769
13772,64642
13772,68058
13772,128461
13772,53197
13772,94844
13772,11717
13772,90733
13772,107095
13772,103605
13772,2510
13772,85399
13772,74457
13772,7366
13772,133065
13772,118912
13772,54065
13772,73592
13772,10449
13772,123827
13772,17162
13772,60976
13772,147630
13772,72762
13772,14024
13772,36895
13772,129687
13772,115070
13772,10741
13772,108566
13772,167359
13772,143957
13772,25666
13772,122596
13772,113146
13772,84695
13772,110957
13772,84267
13772,29799
13772,20731
13772,84727
13772,95426
13772,161949
13772,33284
13772,85793
13772,123793
13772,75326
13772,90506
13772,103941
13772,135562
13772,157404
13772,57516
13772,84708
13772,49962
13772,52845
13772,82736
13772,94427
13772,159789
13772,60750
13772,6055
13772,19519
13772,69116
13772,140425
13772,86114
13772,129374
13772,125133
13772,98085
13772,161225
13772,10777
13772,160200
13772,91880
13772,71539
13772,113600
13772,80108
13772,129886
13772,20366
13772,63816
13772,34333
13772,148849
13772,132373
13772,65019
13772,162042
13772,34745
13772,156236
13772,121040
13772,58423
13772,164573
13772,54304
13772,53422
13772,26671
13772,116273
13772,143857
13772,86897
13772,153148
13772,107220
13772,64790
13772,167553
13772,78606
13772,92444
13772,32083
13772,39592
13772,124574
13772,132165
13772,101506
13772,144687
13772,146183
13772,1973
13772,150117
13772,76749
13772,114665
13772,96748
13772,25541
13772,145871
13772,49958
13772,134648
13772,15508
13772,16106
13772,167577
13772,17669
145346,61656
145346,127387
145346,292
145346,112045
145346,50592
145346,67257
145346,9345
145346,157607
145346,43401
145346,84816
145346,131725
145346,1246
145346,51020
145346,82319
145346,165660
145346,139744
145346,133065
145346,54065
145346,6362
145346,20643
145346,135727
145346,60976
145346,27531
145346,80915
145346,14024
145346,57834
145346,28507
145346,129687
145346,76660
145346,139523
145346,122596
145346,144899
145346,462
145346,136606
145346,46323
145346,26979
145346,95426
145346,141989
145346,75952
145346,31907
145346,160005
145346,154876
145346,160200
145346,92079
145346,158846
145346,132373
145346,104620
145346,125218
145346,39592
145346,94249
145346,135290
145346,130573
145346,91880
145346,53505
145346,138659
145346,91877
145346,137849
145346,130307
145346,113438
145346,110375
145346,111678
145346,4313
145346,50270
145346,96748
145346,34164
145346,129886
145346,20366
145346,129374
145346,67942
145346,31562
145346,84448
145346,142546
167359,32083
167359,20731
167359,49255
86897,49779
86897,72225
86897,64056
86897,50592
86897,1084
86897,50589
86897,40811
86897,124498
86897,43401
86897,75872
86897,32886
86897,87059
86897,128461
86897,53197
86897,94844
86897,11717
86897,100412
86897,90733
86897,93150
86897,79678
86897,2510
86897,107384
86897,74457
86897,7366
86897,118912
86897,73592
86897,88917
86897,10449
86897,123827
86897,109878
86897,90380
86897,55796
86897,135727
86897,17162
86897,60976
86897,55268
86897,147630
86897,72762
86897,108566
86897,25666
86897,6054
86897,113146
86897,84695
86897,60577
86897,29799
86897,153220
86897,140206
86897,84727
86897,46585
86897,95426
86897,161949
86897,33284
86897,85793
86897,75326
86897,153187
86897,139618
86897,48810
86897,69043
86897,148957
86897,107220
86897,153148
86897,91877
86897,110375
86897,114665
86897,9119
86897,34745
86897,112113
86897,92444
86897,63816
86897,35881
86897,26671
86897,1359
86897,48303
86897,34333
86897,16106
86897,145871
86897,125218
86897,1973
86897,164573
86897,86114
86897,83441
86897,144687
86897,110623
86897,30225
86897,11554
86897,31907
86897,160011
86897,52845
86897,161225
86897,10777
86897,160200
86897,6055
86897,71041
86897,65019
86897,146700
86897,24679
86897,115779
86897,53505
86897,38397
86897,25541
86897,16083
86897,142363
86897,43021
86897,132165
86897,128451
139618,64642
139618,113595
139618,25541
139618,144687
25541,126119
25541,64642
25541,74457
25541,113146
25541,50844
25541,75326
25541,35881
25541,144687
25541,10777
25541,146700
107003,114629
107003,134197
107003,97453
107003,4791
125747,126119
125747,153148
125747,17669
32255,93402
130140,29481
130140,96736
130140,82681
130140,145019
130140,122239
130140,159412
130140,152738
130140,32688
130140,134814
130140,65098
130140,69815
86114,81431
86114,64056
86114,1084
86114,40811
86114,124498
86114,32886
86114,87059
86114,64642
86114,97453
86114,53197
